trade_date,setup_type,trade_hour,trades,wins,losses,winrate,profit,roi,profit_factor
2026-06-07,extreme_reversion,21,4,2,2,50.0,-0.3,-7.5,0.85
2026-06-07,extreme_reversion,22,5,2,3,40.0,-1.32,-26.4,0.56
2026-06-08,balanced_rebound,0,4,3,1,75.0,1.55,38.75,2.55
2026-06-08,balanced_rebound,1,2,1,1,50.0,-0.15,-7.5,0.85
2026-06-08,balanced_rebound,2,11,2,9,18.18,-7.3,-66.36,0.19
2026-06-08,balanced_rebound,3,3,3,0,100.0,2.55,85.0,0.0
2026-06-08,balanced_rebound,4,4,4,0,100.0,3.4,85.0,0.0
2026-06-08,balanced_rebound,5,2,2,0,100.0,1.7,85.0,0.0
2026-06-08,balanced_rebound,6,3,2,1,66.67,0.7,23.33,1.7
2026-06-08,balanced_rebound,7,7,4,3,57.14,0.44,6.29,1.15
2026-06-08,balanced_rebound,8,1,0,1,0.0,-1.0,-100.0,0.0
2026-06-08,balanced_rebound,9,3,1,2,33.33,-1.14,-38.0,0.43
2026-06-08,balanced_rebound,10,5,3,2,60.0,0.58,11.6,1.29
2026-06-08,balanced_rebound,12,9,4,5,44.44,-1.56,-17.33,0.69
2026-06-08,balanced_rebound,13,2,0,2,0.0,-2.0,-100.0,0.0
2026-06-08,balanced_rebound,14,4,2,2,50.0,-0.28,-7.0,0.86
2026-06-08,balanced_rebound,15,2,2,0,100.0,1.72,86.0,0.0
2026-06-08,balanced_rebound,16,4,4,0,100.0,3.44,86.0,0.0
2026-06-08,extreme_reversion,0,7,4,3,57.14,1.38,19.71,1.69
2026-06-08,extreme_reversion,1,2,0,2,0.0,-2.0,-100.0,0.0
2026-06-08,extreme_reversion,2,11,6,5,54.55,0.1,0.91,1.02
2026-06-08,extreme_reversion,4,2,2,0,100.0,1.7,85.0,0.0
2026-06-08,extreme_reversion,6,17,9,8,52.94,-0.35,-2.06,0.96
2026-06-08,extreme_reversion,7,25,16,9,64.0,4.76,19.04,1.53
2026-06-08,extreme_reversion,8,4,2,2,50.0,-0.28,-7.0,0.86
2026-06-08,extreme_reversion,9,58,14,44,24.14,-31.96,-55.1,0.27
2026-06-08,extreme_reversion,10,9,9,0,100.0,7.74,86.0,0.0
2026-06-08,extreme_reversion,11,8,5,3,62.5,1.3,16.25,1.43
2026-06-08,extreme_reversion,12,2,2,0,100.0,1.72,86.0,0.0
2026-06-08,extreme_reversion,13,1,0,1,0.0,-1.0,-100.0,0.0
2026-06-08,extreme_reversion,14,8,2,6,25.0,-3.28,-41.0,0.34
2026-06-08,extreme_reversion,15,4,4,0,100.0,3.44,86.0,0.0
2026-06-09,balanced_rebound,12,2,2,0,100.0,1.74,87.0,0.0
2026-06-09,balanced_rebound,14,2,0,2,0.0,-2.0,-100.0,0.0
2026-06-09,balanced_rebound,16,4,4,0,100.0,3.48,87.0,0.0
2026-06-09,balanced_rebound,17,1,1,0,100.0,0.87,87.0,0.0
2026-06-09,balanced_rebound,18,12,8,4,66.67,2.94,24.5,1.74
2026-06-09,balanced_rebound,20,4,4,0,100.0,3.32,83.0,0.0
2026-06-09,balanced_rebound,21,1,1,0,100.0,0.83,83.0,0.0
2026-06-09,balanced_rebound,22,7,3,4,42.86,-1.51,-21.57,0.62
2026-06-09,extreme_reversion,18,4,3,1,75.0,1.57,39.25,2.57
2026-06-09,extreme_reversion,21,1,1,0,100.0,0.83,83.0,0.0
2026-06-09,extreme_reversion,22,1,1,0,100.0,0.83,83.0,0.0
2026-06-10,balanced_rebound,0,7,2,5,28.57,-3.3,-47.14,0.34
2026-06-10,balanced_rebound,2,2,1,1,50.0,-0.15,-7.5,0.85
2026-06-10,balanced_rebound,3,19,3,16,15.79,-13.45,-70.79,0.16
2026-06-10,balanced_rebound,4,4,2,2,50.0,-0.29,-7.25,0.86
2026-06-10,balanced_rebound,5,4,2,2,50.0,-0.28,-7.0,0.86
2026-06-10,balanced_rebound,6,4,2,2,50.0,-0.28,-7.0,0.86
2026-06-10,balanced_rebound,7,2,2,0,100.0,1.72,86.0,0.0
2026-06-10,balanced_rebound,9,8,2,6,25.0,-4.28,-53.5,0.29
2026-06-10,balanced_rebound,10,6,4,2,66.67,2.44,40.67,3.44
2026-06-10,balanced_rebound,11,5,3,2,60.0,0.58,11.6,1.29
2026-06-10,balanced_rebound,13,2,2,0,100.0,1.72,86.0,0.0
2026-06-10,balanced_rebound,14,11,4,7,36.36,-2.56,-23.27,0.57
2026-06-10,balanced_rebound,16,5,2,3,40.0,-1.28,-25.6,0.57
2026-06-10,balanced_rebound,17,6,1,5,16.67,-4.14,-69.0,0.17
2026-06-10,balanced_rebound,18,3,3,0,100.0,2.58,86.0,0.0
2026-06-10,balanced_rebound,19,6,6,0,100.0,5.1,85.0,0.0
2026-06-10,balanced_rebound,20,1,1,0,100.0,0.85,85.0,0.0
2026-06-10,balanced_rebound,23,1,1,0,100.0,0.83,83.0,0.0
2026-06-10,extreme_reversion,0,4,0,4,0.0,-4.0,-100.0,0.0
2026-06-10,extreme_reversion,1,12,7,5,58.33,0.95,7.92,1.19
2026-06-10,extreme_reversion,2,24,10,14,41.67,-5.5,-22.92,0.61
2026-06-10,extreme_reversion,3,38,12,26,31.58,-15.8,-41.58,0.39
2026-06-10,extreme_reversion,4,14,7,7,50.0,-1.02,-7.29,0.85
2026-06-10,extreme_reversion,5,7,1,6,14.29,-5.14,-73.43,0.14
2026-06-10,extreme_reversion,6,32,20,12,62.5,5.2,16.25,1.43
2026-06-10,extreme_reversion,8,9,5,4,55.56,0.3,3.33,1.08
2026-06-10,extreme_reversion,9,51,23,28,45.1,-8.22,-16.12,0.71
2026-06-10,extreme_reversion,14,5,2,3,40.0,-0.28,-5.6,0.86
2026-06-10,extreme_reversion,16,9,2,7,22.22,-5.28,-58.67,0.25
2026-06-10,extreme_reversion,17,3,2,1,66.67,0.72,24.0,1.72
2026-06-10,extreme_reversion,18,19,8,11,42.11,-4.12,-21.68,0.63
2026-06-10,extreme_reversion,19,1,1,0,100.0,0.86,86.0,0.0
2026-06-10,extreme_reversion,20,4,2,2,50.0,-0.3,-7.5,0.85
2026-06-10,extreme_reversion,23,1,1,0,100.0,0.83,83.0,0.0
2026-06-11,balanced_rebound,0,4,4,0,100.0,3.4,85.0,0.0
2026-06-11,balanced_rebound,1,1,1,0,100.0,0.85,85.0,0.0
2026-06-11,balanced_rebound,2,3,3,0,100.0,2.55,85.0,0.0
2026-06-11,balanced_rebound,4,1,1,0,100.0,0.85,85.0,0.0
2026-06-11,balanced_rebound,6,2,2,0,100.0,1.72,86.0,0.0
2026-06-11,balanced_rebound,7,5,5,0,100.0,4.3,86.0,0.0
2026-06-11,balanced_rebound,8,2,1,1,50.0,-0.14,-7.0,0.86
2026-06-11,balanced_rebound,9,1,1,0,100.0,0.86,86.0,0.0
2026-06-11,balanced_rebound,10,2,1,1,50.0,-0.14,-7.0,0.86
2026-06-11,balanced_rebound,11,5,1,4,20.0,-3.14,-62.8,0.22
2026-06-11,balanced_rebound,12,2,1,1,50.0,-0.14,-7.0,0.86
2026-06-11,balanced_rebound,13,2,2,0,100.0,1.72,86.0,0.0
2026-06-11,balanced_rebound,14,4,2,2,50.0,-0.28,-7.0,0.86
2026-06-11,balanced_rebound,15,2,2,0,100.0,1.72,86.0,0.0
2026-06-11,balanced_rebound,17,2,2,0,100.0,1.72,86.0,0.0
2026-06-11,balanced_rebound,20,1,1,0,100.0,0.85,85.0,0.0
2026-06-11,balanced_rebound,21,5,2,3,40.0,-1.3,-26.0,0.57
2026-06-11,balanced_rebound,22,2,2,0,100.0,1.7,85.0,0.0
2026-06-11,extreme_reversion,0,5,5,0,100.0,4.25,85.0,0.0
2026-06-11,extreme_reversion,1,2,2,0,100.0,1.7,85.0,0.0
2026-06-11,extreme_reversion,2,1,1,0,100.0,0.85,85.0,0.0
2026-06-11,extreme_reversion,3,2,0,2,0.0,-2.0,-100.0,0.0
2026-06-11,extreme_reversion,6,21,7,14,33.33,-7.98,-38.0,0.43
2026-06-11,extreme_reversion,7,3,3,0,100.0,2.58,86.0,0.0
2026-06-11,extreme_reversion,8,7,3,4,42.86,-1.42,-20.29,0.65
2026-06-11,extreme_reversion,9,1,1,0,100.0,0.86,86.0,0.0
2026-06-11,extreme_reversion,10,6,4,2,66.67,1.44,24.0,1.72
2026-06-11,extreme_reversion,11,2,2,0,100.0,1.72,86.0,0.0
2026-06-11,extreme_reversion,12,2,1,1,50.0,-0.14,-7.0,0.86
2026-06-11,extreme_reversion,13,7,6,1,85.71,4.16,59.43,5.16
2026-06-11,extreme_reversion,15,10,6,4,60.0,1.16,11.6,1.29
2026-06-11,extreme_reversion,16,2,2,0,100.0,1.72,86.0,0.0
2026-06-11,extreme_reversion,20,9,2,7,22.22,-4.3,-47.78,0.28
2026-06-11,extreme_reversion,21,2,1,1,50.0,-0.15,-7.5,0.85
2026-06-12,balanced_rebound,0,6,4,2,66.67,1.4,23.33,1.7
2026-06-12,balanced_rebound,1,1,1,0,100.0,0.85,85.0,0.0
2026-06-12,balanced_rebound,2,4,3,1,75.0,1.55,38.75,2.55
2026-06-12,balanced_rebound,3,2,1,1,50.0,0.85,42.5,0.0
